game_title,score,source
Forza Motorsport 3: Ultimate Edition,9.6,Wells-Wright
Wii de Asobu Chibi-Robo!,7.2,Jackson Group
Romance of the Three Kingdoms VI: Awakening of the Dragon,5.1,Smith and Sons
To Heart 2 DX Plus,6.7,"Davis, Kane and Mathis"
Star Driver: Kagayaki no Takuto - Ginga Bishounen Densetsu,8.2,Griffin-Beltran
Naruto: Uzumaki Chronicles 2 (JP sales),9.9,May-Ross
Snoopy vs the Red Baron,9.5,"Garner, Booker and Ballard"
Pet Vet: Down Under,6.5,Downs and Sons
Raze's Hell,8.9,Gibson-Ayers
Rain (2013),7.5,Weiss-Leonard
Billy the Wizard: Rocket Broomstick Racing,6.0,Wells Ltd
Pool Party,8.3,"Richards, Hughes and Newman"
Microsoft Train Simulator,8.3,Graham and Sons
Shin Megami Tensei NINE,9.5,Lee-Miller
Magic Carpet,5.1,Keller-Newman
Hoshigami: Ruining Blue Earth,8.5,Vasquez Group
GunPey DS,9.7,"Quinn, Tate and Banks"
Wing Island,9.3,"Branch, Ward and Curtis"
Clever Kids: Creepy Crawlies,6.2,Cruz LLC
NightCaster II: Equinox,5.9,"Gordon, Rodriguez and Williams"
Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,9.1,Allison-Stevenson
Galaxy Racers,6.6,"Crosby, Gardner and Martinez"
Bubble Bobble Revolution,5.3,Patterson-Stewart
Time Crisis: Project Titan,8.6,"Walker, Liu and Davis"
Ore-Sama Kingdom: Koi no Manga mo Debut o Mokushise! Doki Doki Love Lesson,5.3,"Lambert, Johnson and Hamilton"
Crusader: No Remorse,5.3,Nichols-Page
MiniCopter: Adventure Flight,5.7,Forbes-Bishop
Shaun the Sheep,9.2,Jones and Sons
Fast & Furious: Showdown,9.5,Beck LLC
Test Drive: Ferrari Legends,7.5,Miller Group
FIFA Manager 12,8.9,Olson Group
River City Soccer Hooligans,7.0,"Fleming, Mcdaniel and Freeman"
Shin Hayarigami,6.6,Davenport Ltd
Turok: Dinosaur Hunter,6.1,"Cruz, Hart and Hurley"
Taiko no Tatsujin Portable 2,9.1,"Delgado, Clark and Adams"
Gitaroo Man,5.3,Krueger Ltd
Super Bubble Pop,5.7,"Wilkinson, Smith and Rivera"
XBLAZE Code: Embryo,7.2,Shea PLC
Black Mirror 2,6.9,Wright Ltd
Time Travelers,6.7,Mitchell and Sons
Amnesia Later,6.1,"Edwards, Hughes and Buchanan"
B-Boy,5.8,Moore Group
Crazy Chicken: Atlantis Quest,5.8,Joseph Group
Test Drive Le Mans,6.5,Murray-Love
Counter Force,6.6,Welch Group
Big Air Freestyle,9.8,Ochoa Inc
Rimo-Cocoron,6.5,Peters-May
Mike Tyson Heavyweight Boxing,7.4,Butler PLC
To Love-Ru Trouble Darkness: Battle Ecstasy,7.1,Osborn Group
The Berenstain Bears and the Spooky Old Tree,8.0,"Mullins, Sims and Blair"
Lux-Pain,10.0,"Wheeler, Marks and Thomas"
Ford Bold Moves Street Racing,7.0,Vega Group
Hakuouki: Bakumatsu Musou Roku,5.7,"Harrison, Clements and Welch"
Mahjong 3D: Warriors of the Emperor,7.8,"Thompson, Howell and Lopez"
Hiiro no Kakera DS,6.9,Kramer Inc
March of the Penguins,9.2,Hale-Morris
Arcana Famiglia: La storia della Aracana Famiglia,5.2,Newman LLC
Tokyo Ghoul: Jail,9.8,"Jensen, Hansen and Gonzalez"
City Life: World Edition,8.5,Lopez LLC
The Misadventures of Tron Bonne,8.4,Cooper Group
Hero Bank 2,7.3,Rodriguez PLC
Brave Story: New Traveller (jp sales),7.7,Davis-Robertson
Black Jack vs. Matsudajun,9.6,"Wilson, Paul and Johnson"
Garou Densetsu 3: Road to the Final Victory,9.9,Grimes Group
Bleach: Soul Carnival,5.9,Taylor PLC
Double Dragon Advance,7.3,"Adams, Thomas and Garcia"
Inspector Gadget: Gadget's Crazy Maze,9.3,Weiss PLC
World Fantasista,8.0,"Brown, Foster and Hernandez"
Yager,7.3,Ayala LLC
Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai,7.1,"Saunders, Cunningham and Ferguson"
Looney Tunes: Cartoon Conductor,9.5,"Ramsey, Marsh and Harper"
Pool Hall Pro,7.3,"Jones, Jimenez and Murray"
Nazo Waku Yakata: Oto no Ma ni Ma ni,8.2,"West, Sanders and Collins"
Choro Q 64 2: Hacha Mecha Grand Prix Race,6.7,"Roberts, West and Price"
Mighty No. 9,6.4,"Davis, Miller and Walker"
LEGO Friends,7.3,"Brown, Valenzuela and Gomez"
Nanda's Island,8.4,"Scott, Keith and Reid"
Hakuouki SSL: Sweet School Life,5.9,Harper-Luna
Kimi ni Todoke: Tsutaeru Kimochi,8.8,"Bautista, Richardson and Diaz"
Nora to Koku no Koubou: Kiri no Mori no Majo,5.4,"Thomas, Garza and Garcia"
Short Track Racing: Trading Paint,7.2,"Rodriguez, Kelly and Duncan"
Game no Kanzume Vol 1,10.0,Collins Ltd
Rat Attack!,9.0,Steele PLC
Jewel Master: Cradle Of Rome 2,9.2,"Roberts, Walters and Smith"
National Geographic Panda (US sales),6.6,"Meyer, Anderson and Cunningham"
Danny Phantom: Urban Jungle,5.2,Bailey PLC
Sotsugyou II: Neo Generation,7.2,Carter PLC
Summon Night Craft Sword Monogatari: Hajimari no Ishi,5.6,"Smith, Banks and Morris"
The King of Fighters 2002: Unlimited Match,5.9,Jones Group
Art of Fighting Anthology,6.7,"Sheppard, Ayers and Suarez"
Rapala Trophies,6.4,"Jackson, Dillon and Butler"
Phoenix Wright: Revived Turnabout,5.5,Hernandez and Sons
Mana Khemia: Alchemists of Al-Revis (JP sales),9.4,"Morse, Schultz and Lewis"
Runaway: A Twist of Fate,9.1,Shaw PLC
Cheer We Go!,5.5,"Benitez, Brown and Clark"
Virtua Fighter CG Portrait Series Vol.6: Lau Chan,5.7,Brown and Sons
Tomoyo After: It's a Wonderful Life CS Edition,6.7,Chen Ltd
Guilty Gear XX Accent Core,7.5,"Ray, Cherry and Shields"
Nihon Pro Mahjong Kishikai Kanshuu: Pro Ni Naru Mahjong DS,6.7,Allen-Shaffer
Millipede / Super Breakout / Lunar Lander,6.9,Cook Inc
World Trigger: Borderless Mission,9.9,Green Group
Assault Rigs,8.1,Peters Inc
World Championship Spelling,7.1,Ruiz and Sons
Yes! PreCure 5,8.2,Buck-Jones
Exist Archive: The Other Side of the Sky,5.3,"Hart, Robinson and Palmer"
Honda ATV Fever,6.7,"Austin, Ryan and Brown"
Operation Flashpoint: Elite,6.9,"Delacruz, Johnson and Richard"
Nobunaga's Ambition: Sphere of Influence - Sengoku Risshiden,7.3,Hernandez LLC
"Roswell Conspiracies: Aliens, Myths & Legends",8.2,Ruiz Ltd
Sekai no Gohan Shaberu! DS Oryouri Navi,8.2,"Green, Martinez and Page"
Rugby Challenge 3,7.2,"Rodriguez, Cruz and Cervantes"
Boktai 2: Solar Boy Django,6.6,Flores-Sandoval
Praetorians,6.8,Gregory-Holland
Nobunaga's Ambition (3DS),7.6,"James, Franklin and Davis"
Angelique Duet,9.3,"Short, Green and Mays"
Shin Fortune Quest: Sokutaku no Kishi,8.9,Schwartz LLC
Crushed Baseball,7.0,Morgan LLC
Dark Arena,6.1,Wright Ltd
Just Sing! Vol. 2,9.4,Hall-Martinez
IL-2 Sturmovik: 1946,6.2,Lopez Inc
Jerry Rice and Nitus' Dog Football,5.6,"Kane, Austin and Diaz"
TOCA Race Driver 2,6.5,White-Schmidt
I.Q. Remix+: Intelligent Qube,6.7,Pearson PLC
Sébastien Loeb Rally Evo,7.5,"Reyes, Blair and Wilson"
Growlanser,9.8,Moore-Watson
Trollz: Hair Affair!,7.0,Price Ltd
Daito Giken Koushiki Pachi-Slot Simulator: Shake II,5.1,Sandoval Ltd
Grand Slam,7.2,"Hicks, Fleming and Brown"
Chou Gekijoban Keroro Gunsou: Gekishin Dragon Warriors de Arimasu!,7.9,Dalton and Sons
The King of Fighters 2000,7.3,Ortiz and Sons
M&M's Beach Party,8.6,Walters-Becker
Dead Head Fred,7.0,"Taylor, Miller and Johnson"
D.C.F.S.: Da Capo Four Seasons,6.9,Walsh and Sons
Hyperdimension Neptunia mk2,9.2,"Mcfarland, Perez and Johnson"
Hanayori Danshi: Koi Seyo Onago,6.6,"Hicks, Maldonado and White"
Minna ga Shuyaku no NHK Kouhaku Quiz Kassen,5.3,Ross Ltd
Sonic the Hedgehog 2 (8-bit),6.4,"Thornton, Pierce and Hall"
Rogue Trooper,8.0,"Chandler, Mitchell and Williams"
Spy Fiction,8.5,"Evans, Ewing and Henry"
R.B.I. Baseball 2016,5.9,"Lawson, Ellis and Trujillo"
Justice League: Chronicles,10.0,Key-Williams
Doko Demo Issho: Let's Gakkou!,8.5,Davis PLC
Monster Trux Arenas: Special Edition,7.3,"Hughes, Conrad and Melton"
B's-LOG Party♪,9.1,Mccullough-Watson
Dai Senryaku VII: Modern Military Tactics,8.9,"Palmer, Maxwell and Parsons"
White Album 2: Shiawase no Mukougawa,9.9,Sanders-Smith
Painkiller: Hell & Damnation,5.7,Allen-Mueller
Go Go Ackman 3,5.5,"Yang, Moore and Wiley"
Advance Guardian Heroes,9.4,"Quinn, Sullivan and Mcguire"
Casual Mania!,5.1,Miller-Johnson
Castle of Shikigami III,6.2,Mckay Inc
Star X,8.4,"Jones, Watson and Velazquez"
Jewel Quest 5: The Sleepless Star,7.9,Edwards and Sons
The King of Fighters Kyo,9.8,Mercado Inc
Yowamushi Pedal,8.9,Wilson-Duarte
WarTech: Senko no Ronde,7.4,"Stewart, Norman and Arias"
Record of Agarest War: Marriage,9.7,Greene and Sons
San-X Land: Theme Park de Asobou!,6.5,Hughes-Walker
Corpse Party: Book of Shadows,7.9,"Jacobs, Santos and Pearson"
Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,7.4,Page-Moore
Starry ? Sky: After Spring,6.5,French Inc
Naruto Shippuden: Dairansen! Kage Bunshin Emaki,8.8,"Vang, Anderson and Lopez"
Mechanic Escape,8.0,Price-Mann
Twilight Syndrome: Kinjiratera Toshi Densetsu,7.1,Fields PLC
True Love Story 3,5.6,"Stone, Martinez and Lynch"
Blood Will Tell: Tezuka Osamu's Dororo,5.7,Martinez Group
The Kore Gang,6.3,"Martinez, Gay and Medina"
Red Ninja: End of Honor,7.9,Villegas and Sons
Kanuchi: Shiroki Tsubasa no Shou,7.5,"Williams, Sampson and Stephens"
Summer Athletics 2009,5.2,"Strickland, Jones and Hall"
SX Superstar,8.4,"Graham, Cohen and Leonard"
Katekyoo Hitman Reborn! Battle Arena,6.0,"Andrews, Reyes and Estrada"
Saint Seiya: The Hades,6.0,Vasquez Group
Saki Portable,5.5,Perez-Kramer
Riding Stables: The Whitakers present Milton and Friends,5.4,Bullock Inc
Naruto Shippuuden: Shinobi Retsuden III,9.5,Garcia-Lin
Metal Gear Solid: Digital Graphic Novel,7.9,Montoya-Martinez
Free Running,6.8,Williams-Gonzalez
Ore no Imouto ga Konna ni Kawaii Wake ga Nai Happy EnD,7.0,"Cook, Banks and Berry"
SPRay,5.0,Blake-Hill
No Rules: Get Phat,9.0,Parker-Burton
Battle Rage,6.9,"Holden, Bailey and Humphrey"
Zombi Daisuki,6.8,"Hamilton, Jackson and Jackson"
Card Fight!! Vanguard G: Stride to Victory!!,8.9,Klein Ltd
"Negima!? Chou Mahora Taisen Kattoiin, Keiyaku Shikkou Dechai masuu",7.3,Powell-Roberts
Doraemon: Shin Nobita no Daimakyou Peko to 5-nin no Tankenta,6.9,Weaver Group
Challenge Me: Maths Workout,5.1,Rice-Santiago
The Invincible Iron Man,5.5,"Hoffman, Bird and Turner"
Refrain no Chika Meikyuu to Majo no Ryodan,5.7,Sanders and Sons
Dance Dance Revolution Disney Mix,9.8,Garcia-Gilbert
Maken Shao: Demon Sword,5.2,"Cunningham, Mason and Boyer"
Playmobil Top Agents,6.5,"Smith, King and Jones"
The Monkey King: The Legend Begins,9.0,Huerta PLC
Super Robot Taisen OG Infinite Battle,6.4,"Pierce, Weaver and Garrett"
BeatMania IIDX 16: Empress + Premium Best,9.6,"Valdez, Castillo and Evans"
FIFA Soccer 2003 (weekly jp sales),6.0,Jackson-Burnett
Emergency Room: Real Life Rescues,6.8,Thompson PLC
High Heat Baseball 2002,10.0,Weber-Rodriguez
Puyo Pop Fever,6.2,"Hays, Thomas and Kim"
Hana to Ikimo no Rittai Zukan,9.0,Hanson Group
Bloody Roar Extreme,5.1,Wise Group
Platinum Sudoku,6.4,Jordan-Russell
Tennis Masters Series 2003,5.6,"Copeland, Flores and Williams"
The Sims Deluxe,7.0,Lawson-Jordan
Port Royale 2,6.9,"Ford, Bowen and Hogan"
Duke Nukem Trilogy: Critical Mass,6.9,Torres Ltd
Pocket Pool,7.2,Proctor-Arias
Jissen Pachislot Hisshouhou! Hokuto no Ken DS,8.8,"Johns, Kirby and Wagner"
Lise no Atelier: Ordre no Renkinjutsushi,6.8,Blevins Group
Black & White,7.7,Allison Group
The Cube,8.8,Smith Inc
Company of Heroes: Tales of Valor,7.7,Wells-Raymond
Myth Makers: Trixie in Toyland,6.9,Fox PLC
Amnesia,8.6,House-Martinez
Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch,5.8,"Sanchez, Floyd and Rodriguez"
Fashion Week Jr. Designer,8.7,Vasquez-Green
Jewel Quest Mysteries 2: Trail of the Midnight Heart,9.8,Thomas PLC
Sherlock Holmes: Secret of The Silver Earring,5.8,Mcdonald Group
Great Battle Full Blast,7.6,"Young, Shaw and Bell"
Hitman (2016),8.7,Brown LLC
Doki Doki! PreCure Narikiri Life!,6.7,Garcia-Robinson
Gravity Falls: Legend of the Gnome Gemulets,9.2,Bates-Barry
Watashi no Relaxuma,6.2,Daniels-Farmer
Phantom Kingdom Portable,6.7,"Santos, Reynolds and Rich"
Way of the Samurai 2 Portable,9.8,"Barnes, Hall and Maddox"
Heroes of Might and Magic V,9.5,Navarro-Anderson
Mazes of Fate DS,5.6,Turner Ltd
Code Geass: Hangyaku no Lelouch R2 - Banjou no Geass Gekijou,7.9,Simpson-Kelley
Mortimer Beckett and the Secrets of Spooky Manor,5.3,Palmer Ltd
Farm Frenzy 3,8.8,"Munoz, Rojas and Montoya"
Unison: Rebels of Rhythm & Dance,7.6,Mccall and Sons
WTF: Work Time Fun,9.0,"Benson, Martinez and Thomas"
Tennis no Oji-Sama: DokiDoki Survival - Umibe no Secret,9.0,"Hunter, Wells and Arias"
B.L.U.E.: Legend of Water,6.9,"Gomez, Hoffman and Rivera"
Dark Half,9.6,Ruiz Group
Luxor: Pharaoh's Challenge,5.9,"Mendoza, Miller and Larsen"
Nitroplus Blasterz: Heroines Infinite Duel,5.4,"Riggs, Crosby and Reynolds"
Imperial Glory,9.7,Johnson Group
Lionel Trains: On Track,6.6,"Gordon, King and Howard"
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Gakkou-Hen,5.1,"Scott, Collins and Nelson"
Shukufuku no Campanella Portable,5.6,"Zuniga, Martinez and Nelson"
Sonic PC Collection,9.0,Lane-Austin
Horses 3D,7.5,"Scott, Baker and Snyder"
Chaos;Head - Love Chu*Chu!,5.7,Berry-Rodriguez
Paws & Claws: Regal Resort,10.0,"Richardson, Sims and Salazar"
12Riven: The Psi-Climinal of Integral,7.0,Stone-Brown
Battle Spirits: Digital Starter,8.0,"Thompson, Rodriguez and Hawkins"
Rise of Nations,7.2,Jackson Group
Deadliest Warrior: Ancient Combat,9.2,Matthews-Lopez
WarJetz,9.1,"Robinson, Chavez and Acevedo"
Breeding Stud 2,9.4,Robinson-Johnson
Banushi Life Game: Winner's Circle,5.7,Gibbs LLC
Gakuen Hetalia Portable,5.6,Scott Ltd
Gitaroo Man Lives!,7.0,Hale-Henderson
Chibi Maruko-Chan DS: Maru-Chan no Machi,6.9,"Hernandez, Smith and Graves"
Company of Heroes: Opposing Fronts,8.1,"James, Cummings and Mcintyre"
Novastorm,10.0,Evans Group
PopCap Arcade Vol 1,5.4,"Wise, Lyons and Oneill"
Dead Ball Zone,8.4,Elliott-Curry
Men of War: Vietnam,5.8,Castillo PLC
NBA In The Zone '99,5.1,Allen LLC
Winning Post World 2010,5.8,"Byrd, Wood and Davis"
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,8.6,Miller Group
SWAT: Target Liberty,7.7,Daniels and Sons
Haunted Casino,5.8,"Lee, Scott and Mathews"
Ou to Maou to 7-nin no Himegimitachi: Shin Ousama Monogatari,6.9,"Boyer, Walker and Harrison"
Aeon Flux,5.6,"Brown, Harris and Montes"
Summer Challenge: Athletics Tournament,9.2,Rivera and Sons
S.Y.K Renshouden Portable,5.2,Smith and Sons
Metal Max Returns,5.0,Payne-Brown
Shattered Union,7.0,"Koch, Gardner and Allen"
Off-Road Drive,9.5,Manning-Gonzalez
Hanaoni: Yume no Tsudzuki,5.4,Haley PLC
Harley-Davidson: Road Trip,7.5,Tucker Ltd
Gal*Gun,5.4,"Brown, Brock and Hall"
GoGo's Crazy Bones,6.8,"Bowman, Gilbert and Howe"
MLB 2K12 / NBA 2K12 Combo Pack,8.0,"Murphy, Richardson and Hicks"
Ookami Kakushi,8.2,"Collier, Myers and Kelly"
Zen-Nippon GT Senshuken,7.9,"Guerra, Thomas and Hale"
North American Hunting Extravaganza 2,9.5,Gould PLC
City Builder,9.2,Whitney-Robinson
PD Ultraman Battle Collection 64,9.6,Nelson LLC
Monaco Grand Prix,6.8,Castaneda-Armstrong
Rally Challenge 2000,9.2,"Scott, Rodriguez and Hernandez"
Looney Tunes Duck Dodgers Starring: Daffy Duck,6.7,Drake Inc
Superman: Countdown to Apokolips,6.8,Berry-Thomas
Deadly Arts,8.5,Ramirez PLC
Kikou Heidan J-Phoenix 2,5.1,Robles-Wolfe
Sengoku Musou 3 Z Special,6.5,Peters Group
Harukanaru Toki no Naka de 5,8.8,Raymond Group
Meteos: Disney Magic,7.9,Watkins LLC
Worms 4: Mayhem,6.3,Thompson-Clark
Super Black Bass Fishing,7.0,"Sanchez, Singleton and Allen"
Point Blank 2,8.9,Herrera-Bryant
Saru! Get You! Pipo Saru Senki,8.1,"King, Espinoza and Johnson"
Infamous: First Light,9.0,"Pearson, Evans and Moore"
J.League Pro Soccer Club o Tsukurou! 8 Euro Plus,5.1,"Phillips, Martinez and Williams"
Imabikisou,9.8,Smith and Sons
Logic Machines,5.5,Roberts PLC
Hakuouki: Reimeiroku Portable,7.0,Blair PLC
Sega Ages 2500 Series Vol. 33: Fantasy Zone Complete Collection,5.3,Ramirez-Vazquez
Antz Extreme Racing,8.6,"Brown, Austin and Peterson"
Motto TOEIC Test DS Training,7.6,Gonzalez Ltd
Super Robot Gakuen,9.2,Lawrence-Reyes
Atelier Iris 3: Grand Phantasm (JP Sales),7.0,Guzman LLC
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,8.7,Mckinney-Johnson
Empire Earth III,9.8,Velez-Roman
Mike Tyson Boxing,7.7,"James, Cooper and Green"
Jojo's Fashion Show: Design in a Dash!,6.7,"Bishop, Gonzalez and Black"
Go Diego Go!: Safari Rescue,7.4,Johnson Inc
Deal or No Deal: Special Edition,9.7,Howe-Hall
Clannad,6.4,Young and Sons
Fisherman's Challenge,9.8,"Smith, Hahn and Floyd"
Katekyoo Hitman Reborn! Battle Arena 2 - Spirits Burst,8.3,Jones LLC
Akko ni Omakase! Brain Shock,9.2,Pena and Sons
Guild Wars Trilogy,9.0,Howe LLC
Patrician IV,5.9,Stevens-Williams
King of Fighters: Maximum Impact Regulation A,6.5,"Smith, Chan and Paul"
Who Wants to be a Millionaire: 1st Edition,6.3,Hernandez LLC
Date A Live: Rine Utopia,7.6,"Torres, Hodge and Sandoval"
Durarara!! 3way Standoff: Alley,9.5,"Norton, Becker and Hawkins"
Fritz Chess,9.1,Phillips and Sons
Famicom Mini: Clu Clu Land,9.8,Flowers-Smith
Metal Slug XX,9.7,"Hernandez, Park and Romero"
Sacred Blaze,8.7,Roberson-Vazquez
Rollin' Rascals,10.0,"Roberts, Hernandez and Hood"
Haneru no Tobira DS: Tanshuku Tetsudou no Yoru,8.7,Wagner Group
Thoroughbred Breeder II Plus,6.1,Allison-Henry
Pure Pinball,6.3,Moore PLC
Hanaoni: Koisomeru Koku - Eikyuu no Shirushi,7.9,"Jones, Montoya and Marquez"
Zac to Ombra: Maboroshi no Yuuenchi,8.7,"Martinez, Hess and Taylor"
Daikaijuu Battle: Ultra Coliseum DX - Ultra Senshi Daishuuketsu,9.6,Parker Group
Phantom Breaker,8.6,"Hill, Johnson and Farrell"
Brothers In Arms DS,6.5,Ibarra-Smith
Valhalla Knights 2: Battle Stance,7.4,Lawrence-Elliott
99 no Namida,6.5,"Villarreal, Martin and Meyer"
Cyber Troopers Virtual-On Marz,7.8,Wilson-Robinson
Headhunter: Redemption,9.9,Diaz Group
Ookami to Koushinryou: Boku to Horo no Ichinen,7.8,Rivers-Hunt
Bomberman: Act Zero,5.3,"Foster, Whitaker and Pope"
The Chase: Felix Meets Felicity,6.4,York LLC
Stoked: Big Air Edition,8.3,Black Inc
Syndicate Wars,5.6,"Dean, Anderson and Hampton"
Draglade (JP sales),5.5,Russell-Clark
Herc's Adventures,8.0,"Matthews, Lyons and Palmer"
Tiger Woods PGA Tour Golf,7.1,"Giles, Paul and Ferguson"
Twin Strike: Operation Thunder,6.8,"Williams, Combs and White"
All Points Bulletin,5.8,Carlson LLC
The Movies,6.3,Taylor-Mitchell
SuperCar Challenge,7.8,"Macdonald, Eaton and Gutierrez"
Dreamfall: The Longest Journey,8.0,Perkins-Mitchell
The Sims 4: Spa Day,9.3,"Wright, Kline and Jackson"
Tokimeki Mahjong Paradise: Koi no Tenpai Beat,8.0,Harris-Green
Yuki Yuna is a Hero: Memory of the Forest,6.2,Murphy-Hayes
Kidou Gekidan Haro Ichiza Gundam Mahjong DS: Oyaji nimo Agarareta koto nai noni!,9.2,Ward-Green
Blue Roses: Yousei to Aoi Hitomi no Senshitachi,8.3,Burke-Leblanc
Zatch Bell! Mamodo Fury,8.1,Clements-Thomas
Haikyu!! Cross Team Match!,8.7,West-Patel
NHL Blades of Steel 2000,7.3,Blair-Murray
Outlaw Volleyball Remixed,5.3,"Baker, Thomas and Hamilton"
The Adventures of Darwin,5.6,Maldonado PLC
Supreme Commander: Forged Alliance,5.1,Arellano and Sons
Klonoa Heroes: Densetsu no Star Medal,8.3,Clark-Kramer
Hyperdimension Neptunia Victory II,6.6,Dean and Sons
Pajama Sam: You are What You Eat From Your Head to Your Feet,5.7,Clark-Haney
Sid Meier's Railroads!,5.5,Harrison Ltd
Jig-A-Pix: Pets,9.7,Woods PLC
Warhammer: Dark Omen,7.2,Johnson Ltd
Mobile Suit Gundam: Mokuba no Kiseki,7.3,Thompson Group
Denki Blocks!,7.4,"Johnson, Allison and Lee"
A Ressha de Ikou DS,6.9,Brown-Riddle
Harukanaru Toki no Naka de 4: Aizouban,5.4,Reid Group
Tsurugi no Machi no Ihoujin: Kuro no Kyuuden,7.6,Bean Inc
Ballistic,8.4,Davila-Ball
Paddington: Adventures in London,9.2,Garcia LLC
Caesar IV,9.1,"Walters, Larson and Sanchez"
Sega Rally 2006,9.0,"Flores, Miller and Ho"
Gundam Battle Online,9.5,Sanders Group
Shonen Jump's One Piece: Grand Adventure,9.3,Miller-James
Holly Hobbie & Friends,9.4,Morgan-Bryant
Kevin Van Dam: Big Bass Challenge,8.5,"Glass, Miller and Lopez"
Stolen,8.3,"Fields, Pennington and Fowler"
Glacier2,7.1,Frey-Roberts
Memories Off 6: T-Wave,9.6,Brown Inc
Superstars V8 Racing,8.4,Bell-Campbell
Bullet Girls 2,7.5,Bell Group
Famicom Remix Best Choice,6.2,Blair-Martinez
Sleepover Party,9.3,"Anderson, King and Brown"
100 Classic Games,9.3,"Leonard, Kelly and Lee"
Ide Yosuke no Mahjong Kazoku,9.2,Mcgrath Inc
Richard Burns Rally,5.3,"Ferguson, Donovan and Wyatt"
Quiz Mobile Gundam: Toi Senshi DX,7.9,Peterson-Patterson
R-Type Command (correct US sales),9.1,"Gonzalez, Scott and Bailey"
E.T. The Extra-Terrestrial: Interplanetary Mission,6.1,Powell-Schroeder
Story Hour: Fairy Tales,7.5,Moran Ltd
Dynasty Warriors Vol. 2 (JP sales),5.9,"Brown, Willis and Barker"
Countdown Vampires,7.8,Chapman-Howard
Crypt Killer,9.6,Hicks Group
Tokumei Sentai Go-Busters,8.5,Marks PLC
Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!,9.7,Sampson-Wade
The Treasures of Montezuma,8.4,"Hall, Flynn and Black"
Battle Hunter,7.8,"Miller, Price and Banks"
PO'ed,6.8,Rodriguez Group
Heathcliff! Frantic Foto,8.7,"Graham, Mckinney and Campbell"
Adidas Power Soccer,8.0,Wade LLC
Secret Files 2: Puritas Cordis,9.7,Hall-Butler
Darklight Conflict,5.8,"Floyd, Smith and Ingram"
Dragon Ball: Advanced Adventure,6.4,Jordan-Warren
Art of Fighting 3: The Path of the Warrior,5.4,Nixon Ltd
Rabbids Land,5.7,Marsh-Moss
Civilization Beyond Earth: Rising Tide,7.9,Hernandez Ltd
The Ripping Friends,6.1,Hill Group
Konami Arcade Classics,8.4,"Riley, Burns and Stevens"
Hunter x Hunter: Wonder Adventure,6.4,Salazar-White
Super Army War,9.2,"Clark, Saunders and Valdez"
Ao no Exorcist: Genkoku no Labyrinth,9.6,"Nguyen, Clark and Archer"
Echo Night Beyond,8.7,"Garrett, Gardner and Greer"
Minna no Chizu,8.0,"Matthews, Kim and Gregory"
Taikou Risshiden V,7.7,Perez PLC
Train Simulator 2016,8.7,"Dawson, Smith and Castro"
Suzumiya Haruhi no Tsuisou,9.4,Fisher and Sons
Greg Hastings' Tournament Paintball Max'd,7.3,"Jones, Davis and Sanchez"
The Idolm@ster: Must Songs - Red Board / Blue Board,8.5,Parker PLC
Jikkyou World Soccer 2002,9.1,Thompson Ltd
Tenshou Gakuen Gekkouroku,6.2,"Gordon, Carter and English"
Aquanaut's Holiday: Kakusareta Kiroku,7.1,Hopkins-Jenkins
Real Soccer 2008,9.7,"Bell, Sherman and Morrison"
Little Red Riding Hood's Zombie BBQ,6.7,Sanders and Sons
Texas Hold 'Em Poker DS,6.0,Diaz-Diaz
APB Reloaded,7.4,"Johnston, Murray and Novak"
Railroad Tycoon 3,6.6,Dunn-Ortiz
Magical Starsign (JP sales),9.8,"Smith, Decker and Keller"
DT Carnage,7.1,"Mcclain, Johnson and Rollins"
Teenage Zombies: Invasion of the Alien Brain Thingys,8.0,Esparza Group
Rugby 08,9.6,Schwartz LLC
GoPets: Vacation Island,5.6,Hunter LLC
Pia Carrot e Youkoso!! 2.5,8.1,"Turner, Walsh and Jones"
Cy Girls,8.4,Pacheco Ltd
The Sum of All Fears,5.9,Nash Ltd
Da Capo I & II Plus Situation Portable,5.3,Prince-Guerra
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 5: Shinseiki Evangelion - Tamashii no Kiseki,5.3,Allen-Smith
Bubble Bobble Double Shot,9.4,Payne-Davis
Monster Hunter Frontier Online: Season 9.0,9.8,Nolan Group
C.O.R.E.,6.4,Serrano PLC
Garfield: The Search for Pooky,5.3,Wright PLC
Galaxy Fight,9.0,Williams Ltd
Chaos Wars,9.0,Thomas and Sons
Steambot Chronicles,5.8,Morales and Sons
Toki no Kizuna: Sekigahara Kitan,8.7,Cole-Acevedo
Mr. Driller,8.0,Hanson Ltd
Norn9: Norn + Nonette,8.6,Andrews and Sons
Super Hero Generation,7.7,"Hart, Santiago and Greene"
